屬國表

周有天下，不期而會者八百餘國。遼居松漠，最為強盛。天命有歸，建國改元。號令法度，皆遵漢制。命將出師，臣服諸國。人民皆入版籍，貢賦悉輸內帑。東西朔南，何啻萬里。視古起百里國而致太平之業者，亦幾矣。故有遼之盛不可不著。作《屬國表》。

屬國表
紀年	正月	二月	三月	四月	五月	六月	七月	八月	九月	十月	十一月	十二月
太祖元年	　	　	　	　	　	　	　	　	　	　	　	和州回鶻來貢。
神冊元年	御正殿，受百僚暨諸國人使朝賀。	　	　	　	　	　	　	　	　	　	　	　
三年	　	渤海、高麗、回鶻、阻卜、党項各遣使來貢。	高麗及西北諸蕃皆遣使來貢。回鶻獻珊瑚樹。	　	　	　	　	　	　	　	　	　
四年	　	　	　	　	　	　	　	　	　	師次烏骨里國，分路擊之，舉國歸附。	　	　
五年	　	　	　	　	　	　	　	征党項。	　	　	　	　
天贊二年	　	　	　	　	　	波斯國來貢。	　	　	　	　	　	　
三年	　	　	　	　	　	西討吐渾、党項、阻卜。	　	　	大食國來貢。回鶻怕里遣使來貢。攻阻卜。	遣兵踰流沙，拔浮圖城，盡取西鄙諸部。	獲甘州回鶻烏母主可汗。	　
四年	　	大元帥堯骨略地党項。	　	攻小番，下之。回鶻烏母主可汗遣使貢謝。	　	　	　	　	　	日本國來貢。	新羅國來貢。	　
天顯元年	　	回鶻、新羅、吐蕃、党項、沙陀從征有功，賞之。濊貊、鐵驪、靺鞨來貢。改渤海國為東丹國，忽汗城為天福城。	　	　	　	　	　	　	　	　	　	　
二年太宗不改元	　	　	　	　	　	　	　	　	　	　	　	女直國遣使來貢。
三年	　	達盧古來貢。	　	　	　	　	　	突厥來貢。	　	　	　	　
六年	西南邊將以慕化轄戛斯國人來。	　	　	　	　	　	　	　	　	鐵驪來貢。	　	　
七年	　	　	　	女直來貢。	　	　	　	　	　	　	阻卜貢海東青鶻。	　
八年	皇太弟李胡率兵伐党項。	吐渾、阻卜來貢。	　	党項來貢。	　	阻卜來貢。阿薩蘭回鶻來貢。	鐵驪來貢。阻卜來貢。朮不姑來貢。	　	　	阻卜來貢。朮不姑來貢。	　	　
九年	党項貢駝、鹿。	　	女直來貢。	　	　	　	　	　	　	　	　	　
十年	　	　	党項來貢。	吐谷渾酋長率眾內附。	　	吐渾來貢。	　	　	　	　	　	　
十一年	　	　	女直國遣使來貢。	　	　	吐谷渾來貢。	　	吐渾來貢。	　	　	　	　
十二年	　	　	　	　	　	　	　	　	女直國遣使來貢。回鶻來貢。	　	鐵驪來貢。	　
會同元年	　	鐵驪來貢。	女直國遣使來貢。	女直國遣使進弓矢。西南邊大詳穩耶律魯不古奏党項之捷。	吐谷渾來貢。	　	　	吐谷渾、烏孫、靺鞨各來貢。	　	　	　	　
二年	　	　	女直國來貢。	　	　	　	吐谷渾來貢。	　	阻卜來貢。	　	鐵驪、燉煌並遣使來貢。	　
