《建元已來王子侯者年表》 Yearly Table of the Nobles' Sons who became Marquises since the Jianyuan period

制詔御史：「諸侯王或欲推私恩分子弟邑者，令各條上，朕且臨定其號名。」

太史公曰：盛哉，天子之德！一人有慶，天下賴之。

國名	王子號	元光	元朔	元狩	元鼎	元封	太初
茲。	河閒獻王子。	二。五年正月壬子，侯劉明元年。	二。三年，侯明坐謀反殺人，棄市，國除。				
安成。	長沙定王子。	一。六年七月乙巳，思侯劉蒼元年。	六	六	六。元年，今侯自當元年。	六	四
宜春。	長沙定王子。	一。六年七月乙巳，侯劉成元年。	六	六	四。五年，侯成坐酎金，國除。		
句容。	長沙定王子。	一。六年七月乙巳，哀侯劉黨元年。	元年，哀侯黨薨，無後，國除。				
句陵。	長沙定王子。	一。六年七月乙巳，侯劉福元年。	六	六	四。五年，侯福坐酎金，國除。		
杏山。	楚安王子。	一。六年後九月壬戌，侯劉成元年。	六	六	四。五年，侯成坐酎金，國除。		
浮丘。	楚安王子。	一。六年後九月壬戌，侯劉不審元年。	六	四。二。五年，侯霸元年。	四。五年，侯霸坐酎金，國除。		
廣戚。	魯共王子。		六。元年十月丁酉，節侯劉擇元年。	六。元年，侯始元年。	四。五年，侯始坐酎金，國除。		
丹楊。	江都易王子。		六。元年十二月甲辰，哀侯敢元年。	元狩元年，侯敢薨，無後，國除。			
盱台。	江都易王子。		六。元年十二月甲辰，侯劉象之元年。	六	四。五年，侯象之坐酎金，國除。		
湖孰。	江都易王子。		六。元年正月丁卯，頃侯劉胥元年。	六	四。二。五年，今侯聖元年。	六	四
秩陽。	江都易王子。		六。元年正月丁卯，終侯劉漣元年。	六	三。四年，終侯漣薨，無後，國除。		
睢陵。	江都易王子。		六。元年正月丁卯，侯劉定國元年。	六	四。五年，侯定國坐酎金，國除。		
龍丘。	江都易王子。		五。二年五月乙巳，侯劉代元年。	六	四。五年，侯代坐酎金，國除。		
張梁。	江都易王子。		五。二年五月乙巳，哀侯劉仁元年。	六	二。四。三年，今侯順元年。	六	四
劇。	菑川懿王子。		五。二年五月乙巳，原侯劉錯元年。	六	一。五。二年，孝侯廣昌元年。	六	四
壤。	菑川懿王子。		五。二年五月乙巳，夷侯劉高遂。元年。	六	六。元年，今侯延元年。	六	四
平望。	菑川懿王子。		五。二年五月乙巳，夷侯劉賞元年。	二。四。三年，今侯楚人元年。	六	六	四
臨原。	菑川懿王子。		五。二年五月乙巳，敬侯劉始昌元年。	六	六	六	四
