唐為國久，傳世多，而諸臣亦各修其家法，務以門族相高。其材子賢孫不殞其世德，或父子相繼居相位，或累數世而屢顯，或終唐之世不絕。嗚呼，其亦盛矣！然其所以盛衰者，雖由功德薄厚，亦在其子孫。作宰相世系表。

裴氏出自風姓。顓頊裔孫大業生女華，女華生大費，大費生皐陶，皐陶生伯益，賜姓嬴氏。生大廉，大廉五世孫曰仲衍，仲衍四世孫曰軒，軒生潏，潏生飛廉，飛廉生惡來，惡來生女防，女防生旁皐，旁皐生太几，太几生大駱，大駱生非子，周孝王使養馬汧渭之間， 以馬蕃息，封之於秦為附庸，使續嬴氏，號曰秦嬴。非子之支孫封𨛬鄉，因以為氏，今聞喜𨛬城是也。六世孫陵，當周僖王之時封為解邑君，乃去「邑」從「衣」為裴。裴，衣長貌。一云晉平公封顓頊之孫鍼於周川之裴中，號裴君，疑不可辨。陵裔孫蓋，漢水衡都尉、侍中，九世孫燉煌太守遵，自雲中從光武平隴蜀，徙居河東安邑，安順之際徙聞喜。曾孫曄，幷州刺史、度遼將軍。子茂字巨光，靈帝時歷郡守、尚書，率諸將討李傕有功，封陽吉平侯。三子：潛、徽、輯。

西眷裴出自陽吉平侯茂長子徽，字文秀，魏冀州刺史、蘭陵武公，以其子孫多仕西涼者，故號西眷。四子：黎、康、楷、綽。黎字伯宗，一名演，游擊將軍、祕書監。二子粹、苞。粹，晉武威太守。二子：詵、暅。詵，太常卿，避地涼州，及苻堅克河西，復還解縣，生劭，劭生和，和生鍾，鍾生景惠。

景惠，後魏州別駕。	會。	韜。	融，後周司木大夫。	孝瑜，儀同大將軍。	該。	　	奐，戶部員外郎。	　	　	　	　
　	　	　	　	　	　	　	　	恂，赤丞。	　	　	　
　	　	　	　	　	褘。	　	　	　	　	　	　
　	　	　	　	　	爽。	　	　	　	　	　	　
　	　	　	　	　	寂字真玄，相高祖。	律師，駙馬都尉、河東公。	承光，檢校左羽林軍將軍、郕國公。	　	　	　	　
　	　	　	　	　	　	　	承祿，右清道率、河東公。	景僊，武彊公。	　	　	　
　	　	　	　	　	　	法師，將軍、聞喜公。	　	　	　	　	　
　	他字元化，後魏中軍將軍、荊州刺史。	讓之字士禮，齊中書舍人。	　	淨。	　	　	　	　	　	　	　
　	　	　	　	綸，太子舍人。	　	傑。	　	　	　	　	　
　	　	　	　	　	　	式微，大理司直。	　	　	　	　	　
　	　	訥之字士言，北齊中書舍人，居聞喜。	掞。	　	　	　	　	　	　	　	　
　	　	　	　	　	　	子儀，瀛州刺史。	　	　	　	　	　
　	　	　	世矩字弘大，相高祖。	宣機，禮部侍郎。	　	　	　	　	　	　	　
　	　	　	　	奉高。	延慶，商州刺史、聞喜公。	　	　	　	　	　	　
　	　	　	　	善昌，河州刺史。	　	　	　	　	　	　	　
　	　	謁之字士敬，齊壺關令。	通。	　	瑀，費州刺史。	　	　	　	　	　	　

洗馬裴出自粹子暅。暅生慬，自河西歸桑梓，居解縣洗馬川，號洗馬裴，仕前秦大鴻臚。二子：天恩、天壽。

天恩，後魏武都太守。	安祖，安邑令。	思濟。	宗賢。	錯。	同。	　	　	　	　	　	　
　	　	　	　	　	機。	奉禮。	享，駕部郎中。	　	　	　	　
　	　	　	　	　	　	恒，左拾遺。	　	　	　	　	　
