敬氏出自媯姓。陳厲公子完適齊，謚曰敬仲，子孫以謚為氏。敬仲之後至秦有敬丕，丕生教，為河東太守，子孫因官家焉。裔孫韶，漢末為揚州刺史，生昌，封猗氏侯。昌生歸。

歸，南涼枹罕太守。	　	頻，後魏北絳太守。	　	　	顯儁字孝英，北齊僕射、永安侯。	長瑜，合州刺史。	德亮，隋尚書郎。	　	　	　	　
　	　	　	　	　	法延。	　	　	仁綱。	彥琮，愛州刺史。	　	　
　	　	　	　	　	　	　	　	　	山松，澄城令。	暉字仲曄，相中宗。	讓，尚舍奉御。
　	　	　	　	　	　	　	　	　	　	　	誠，右衞大將軍。
　	　	　	　	　	　	　	　	　	　	　	詢，比部員外郎。
　	　	　	　	　	　	　	　	　	　	　	諲，主客員外郎。暉曾孫元膺，河南丞。
　	　	　	　	　	　	　	　	　	　	仙客，蔚州刺史。	　
　	　	　	　	　	法朗。	　	　	君弘，右衞將軍、黔昌公。	　	　	　
　	　	　	　	　	　	　	　	　	昭道。	羽，道州刺史。	　
　	　	　	　	　	　	　	　	播，給事中。	　	悱，虞部員外郎。	挺，三原尉。生寔。
　	　	　	　	　	　	肅字弘儉，隋潁川郡丞。	昶，許州司馬。	則，臨汾令。	德，祕書郎。	揖字伯謙，太子家令。	寰，大理評事。
　	　	　	　	　	　	　	　	　	　	　	㝢，河清尉。
　	　	　	　	　	　	　	　	　	　	擢。	　
　	　	　	　	　	　	　	　	　	　	括字叔弓，御史大夫，謚曰獻。	謇，大理司直。
　	　	　	　	　	　	　	　	　	　	　	密，渠州刺史。生昈，字日休。
　	　	　	　	　	　	　	　	　	　	　	寬，太子詹事。四子：昕字日觀，暤字日新，並右散騎常侍；晦字日彰，太子賓客；煦字日彊。昕生蒙，字子正，漳浦尉。晦六子：湘，廬州刺史；沆，易定觀察支使；潾，宣城尉；澥，隴州防禦判官；淑，鳳翔參軍；沉，溧水尉。
　	　	　	　	　	　	　	　	　	　	　	騫，建州刺史。二子：晤，北都留守判官；晊，江西觀察推官。晤生檖，鴻臚丞。檖生館，館生沼。
　	　	　	　	　	　	　	　	　	　	　	安，大理評事。
　	　	　	　	　	　	　	　	　	　	撫，太子舍人。	　
敬氏宰相一人。暉。


桓氏出自姜姓。齊桓公之後，以謚為氏。又云，出自子姓，宋桓公之後向魋，亦號桓氏。後漢有太子少傅桓榮，世居譙國龍亢。榮八世孫彝，晉宣城內史。五子：雲、溫、豁、祕、沖。 沖，荊州刺史、豐城公，生嗣、謙、修。修，晉護軍將軍、長社侯，過江居丹楊。生尹，尹生崇之，崇之七世孫法嗣。

法嗣，郇王府諮議參軍。	思敏，少府丞。	彥範，相中宗。	　	　	　	　	　	　	　	　	　
　	　	臣範，京兆尹。	庭昌，刑部郎中。	　	　	　	　	　	　	　	　
桓氏宰相一人。彥範。


祝氏出自姬姓。周武王克商，封黃帝之後於祝，後為齊所幷，其封域至齊之間祝阿、祝丘是也。後漢有司徒恬，孫羲生廣，廣為始平太守，子孫留家焉。生魏太中大夫仍，仍生諶，晉驃騎府司馬。諶生偃，散騎常侍，以平關中兵寇，封始平縣伯。生瑜，瑜生熙，熙生寶，三世襲封。二子：老、歸。老，後魏輔國將軍、中外都督。二子：猷、俟。

俟，後魏中散大夫、博平縣侯。	昭。	統字文宗，後周武平令，襲侯。	臧字伯良。	　	　	　	　	　	　	　	　
　	　	　	嘉字仲良。	　	　	　	　	　	　	　	　
　	　	　	綝字叔良，峽州司法參軍。	玄珪字文命，修武令。	　	　	　	　	　	　	　
　	　	　	　	　	駰。	　	　	　	　	　	　
　	　	　	　	欽明字文思，相中宗。	　	　	　	　	　	　	　
祝氏宰相一人。欽明。


紀氏出自姜姓。炎帝之後封於紀，侯爵，為齊所滅，因以國為氏。隋有司農少卿和整，世居天水上邽，生士騰。

士騰，隋翼州刺史。	儼，雍州司倉參軍。	先知，御史中丞。	黃中。	　	　	　	　	　	　	　	　
　	　	全經，戶部郎中。	謙。	　	　	　	　	　	　	　	　
　	　	　	咸。	　	　	　	　	　	　	　	　
　	及，廓州刺史。	處訥，相中宗。	　	　	　	　	　	　	　	　	　
紀氏宰相一人。處訥。


