昔者史臣有言，婦人內夫家，雖天姬之貴，史氏猶外而弗詳。然元室之制，非勳臣世族及封國之君，則莫得尚主，是以世聯戚畹者，親視諸王，其藩翰屏垣之寄，蓋亦重矣。則其世次，顧可以弗之著耶？且秦漢以來，惟帝姬得號公主，而元則諸王之女亦概稱焉，是又不可不知也。惜乎記載弗備，所可見者，僅此而已。作諸公主表。

昌國公主位	趙國公主位	魯國公主位	鄆國公主位
昌國大長公主帖木倫，烈祖女，適昌忠武王孛禿，主薨，繼室以太祖女昌國大長公主火臣別吉。	趙國大長公主阿剌海別吉，太祖女，適趙武毅王孛要合。	魯國大長公主也速不花，睿宗女也，適皇國舅魯忠武王按嗔那顏子斡陳駙馬。	禿滿倫公主，適赤窟駙馬。
昌國大長公主亦乞列思，適孛禿子帖堅干，繼室以昌國大長公主茶倫。	獨木干公主，睿宗女，適拜哈弟鄃王聶古䚟。	魯國公主薛只干，太祖孫女，適斡陳弟納陳駙馬。	瓮吉八忽公主，適赤窟孫懷都駙馬。
昌國大長公主安禿，太宗子闊出女，適孛禿子昌武定王瑣兒哈。	趙國大長公主月烈，世祖女，適拜哈子趙武襄王愛不花。	魯國長公主完澤，適斡陳男斡羅真駙馬。	采真公主，適懷都弟愛不哥駙馬。
吾魯真公主，世祖女，適帖木干子孛花。	趙國大長公主葉里迷失，定宗女，適孛要合子趙忠襄王君不花。	魯國大長公主囊家真，世祖女，適納陳子帖木兒，再適帖木兒弟蠻子台。	鄆國大長公主忙哥台，適愛不哥子寧濮郡王昌吉。
昌國大長公主也孫真，適鎖兒哈子昌忠靖王札忽爾陳。	趙國大長公主忽答迭迷失，裕宗女，適愛不花子趙忠獻王闊里吉思，繼室以趙國大長公主愛牙失里，成宗女也。	魯國大長公主南阿不剌，裕宗女，適蠻子台。	大長公主桑哥不剌，適愛不哥子岐王脫脫木兒。
魯魯罕公主，適孛花弟寧昌郡王唆都哥。繼室以魯倫公主。	趙國大長公主亦憐真，適君不花子趙忠烈王囊家台。	魯國徽文懿福貞壽大長公主祥哥剌吉，順宗女，適帖木兒子（弓周）阿不剌。	札牙八剌公主，適駙馬。
昌國大長公主伯雅倫，憲宗女，適札忽爾陳子昌忠宣王忽鄰。繼室以昌國大長公主卜蘭奚。	趙國大長公主回紇，適君不花弟趙康禧王喬鄰察。	魯國大長公主普納，適帖木兒子魯王桑哥不剌。	　
普顏可里美思公主，適唆都哥子寧昌郡王不鄰吉歹。	趙國大長公主阿失禿魯，適愛不花子鄃忠襄王朮忽難。	肅雍賢寧公主朶兒只班，適（弓周）阿八剌子阿里嘉實利。	　
昌國大長公主益里海涯，成宗女，適忽鄰子昌王阿失。繼室以昌國大長公主買的，憲宗[曾]孫女也。	大長公主(桑)[速]哥八剌，適囊家台子趙王馬札罕。	大長公主拜塔沙，適按陳裔孫買住罕。	　
昌國大長公主烟合牙，適昌王八剌失里。	　	台忽普都公主，適按陳裔孫安遠王丑漢。	　
昌國大長公主月魯，適八剌失里子昌王沙藍朶兒。	　	唆兒哈罕公主，太宗女，適按陳孫納合。	　
奴兀倫公主，安西王女，適忽鄰弟瑣郎哈。	　	斡可真公主，適火忽孫不只兒。	　
　	　	不魯罕公主，適特薛禪孫脫羅禾，繼室以仁宗女闊闊倫公主。	　
高昌公主位	高麗公主位	阿昔倫公主位	帶魯罕公主位
也立安敦公主，太祖女，適亦都護巴而述阿兒忒的斤。	齊國大長公主忽都魯堅迷失，世祖之女，適高麗王愖，即王也。	阿昔倫公主，適阿脫駙馬。	帶魯罕公主，適拔都駙馬。
巴巴哈兒公主，定宗女，適巴而述阿而忒的斤曾孫亦都護火赤哈兒的斤。	薊國大長公主高麗王妃卜答失利，顯宗女，適瀋王王謜。即王璋也。	搠只蠻公主，適阿脫弟忽都虎駙馬。	搠思蠻公主，適拔都子阿朮魯駙馬。
不魯罕公主，太宗孫女，適火赤哈兒子高昌王紐林的斤。主薨，繼室以其妹八卜叉公主。又薨，繼室以兀剌真公主，世祖之孫安西王阿難答女也。	濮國長公主高麗王妃亦憐只班，世祖之孫營王也先帖木兒女，適瀋王王燾。主薨，繼室以曹國長公主高麗王妃金童，順宗子魏王女也。	獨木罕公主位	脫烈公主位
朶而只思蠻公主，太宗之子闊端之女，適高昌王帖睦兒補化。	□國公主，顯宗之子梁王松山女，適瀋王王暠。	獨木罕公主，適察忽駙馬。	脫烈公主，適阿爾思蘭子也先不花駙馬。
　	　	伯要真公主，適察忽子也先駙馬。	八八公主，適也先不花子忽納答兒駙馬。
　	　	也里侃公主，適也先子迭木迭兒駙馬。	□公主，適忽納答兒子剌海涯里那駙馬。
延安公主位	□□公主位	□□公主住	各公主位
火魯公主，適哈答駙馬。	□□□公主，適塔出駙馬。	□□公主，適忒不歹駙馬。	　
闊闊干公主，適脫欒赤駙馬。	□□公主，適塔出子朮真伯駙馬。	□□公主，適忒不歹曾孫塔賽駙馬。	完者台公主，適永寧王卯澤。
脫脫灰公主，世祖孫女，適禿滿答兒駙馬。	□□公主，適朮真伯子別合剌駙馬。	□□公主，適塔賽子哈丹駙馬。	　
□□公主，適別里迷失駙馬。	□□公主，適別合剌子塔八駙馬。	□□公主，適哈丹子朶忽駙馬。	英壽大長公主妥妥輝，世祖孫女也。
□□公主，適沙藍駙馬。	　	　	壽寧大長公主，顯宗女，泰定皇帝伯姊也。
延安公主，適延安王也不干。	　	　	明慧貞懿大長公主不答昔你，明宗之女。
　	　	　	□□公主，適合納那顏孫奔忒古兒駙馬。
　	　	　	買買公主
　	　	　	阿剌歹公主
　	　	　	木答里公主
　	　	　	雪雪的斤公主
　	　	　	阿失禿公主
　	　	　	失憐答里公主


Chinese text: This work was published before January 1, 1923, and is in the
public domain worldwide because the author died at least 100 years ago.
